Timestamp,Current,Total voltage,SOC,Temperature,SOH,Equivalent cycle,Application status,Grid status,Grid power,Grid energy consumption,Grid cumulative energy consumption
1556786215000,10,61.24819393,0.628922337,24.84164778,0.995977654,0.371395388,1,1,612.4819393,170.133872,3410.063146
1556787215000,10,61.40440779,0.63821899,25.19652036,0.995969334,0.376043715,1,1,614.0440779,170.5677994,3580.630945
1556788215000,10,61.55989516,0.647515722,25.55591784,0.99596089,0.38069208,1,1,615.5989516,170.9997088,3751.630654
1556789215000,10,61.71463973,0.656812532,25.91688302,0.995952316,0.385340485,1,1,617.1463973,171.4295548,3923.060209
1556790215000,10,61.86865031,0.666109422,26.27700126,0.995943609,0.389988931,1,1,618.6865031,171.857362,4094.917571
1556791215000,10,62.02197634,0.675406393,26.63412629,0.995934764,0.394637416,1,1,620.2197634,172.2832676,4267.200838
1556792215000,10,62.17472332,0.684703447,26.98625417,0.99592578,0.399285943,1,1,621.7472332,172.7075648,4439.908403
1556793215000,10,62.32706658,0.694000585,27.33146794,0.995916654,0.403934512,1,1,623.2706658,173.1307405,4613.039143
1556794215000,10,62.47926217,0.703297808,27.66791625,0.995907385,0.408583124,1,1,624.7926217,173.553506,4786.592649
1556795215000,10,62.63164652,0.712595118,27.99380798,0.995897971,0.413231778,1,1,626.3164652,173.9767959,4960.569445
1556796215000,10,62.78425291,0.721892515,28.30741449,0.995888413,0.417880477,1,1,627.8425291,174.4007025,5134.970148
1556797215000,10,62.93660158,0.731190002,28.60707527,0.99587871,0.422529221,1,1,629.3660158,174.8238933,5309.794041
1556798215000,10,63.0882024,0.740487579,28.89120508,0.995868863,0.427178009,1,1,630.882024,175.2450067,5485.039048
1556799215000,10,63.23859147,0.749785248,29.15830149,0.995858875,0.431826844,1,1,632.3859147,175.6627541,5660.701802
1556800215000,10,63.3873232,0.759083011,29.40695247,0.995848747,0.436475725,1,1,633.873232,176.0758978,5836.7777
1556801215000,10,63.53396288,0.768380868,29.63584366,0.995838483,0.441124653,1,1,635.3396288,176.4832302,6013.26093
1556802215000,10,63.67808001,0.777678821,29.84376526,0.995828086,0.44577363,1,1,636.7808001,176.8835556,6190.144486
1556803215000,10,63.81924237,0.78697687,30.02961831,0.995817561,0.450422655,1,1,638.1924237,177.2756732,6367.420159
1556804215000,10,63.95701109,0.796275019,30.19242057,0.995806913,0.455071729,1,1,639.5701109,177.6583641,6545.078523
1556805215000,10,64.09093662,0.805573266,30.33131164,0.995796147,0.459720853,1,1,640.9093662,178.0303795,6723.108902
1556806215000,10,64.22059513,0.814871614,30.44555753,0.99578527,0.464370027,1,1,642.2059513,178.390542,6901.499444
1556807215000,10,64.34613903,0.824170064,30.53455451,0.995774287,0.469019252,1,1,643.4613903,178.7392751,7080.238719
1556808215000,10,64.46815846,0.833468616,30.59783235,0.995763207,0.473668528,1,1,644.6815846,179.078218,7259.316937
1556809215000,10,64.58723669,0.842767272,30.63505676,0.995752036,0.478317856,1,1,645.8723669,179.4089908,7438.725928
1556810215000,10,64.70394047,0.852066032,30.64603118,0.995740782,0.482967236,1,1,647.0394047,179.733168,7618.459096
1556811215000,10,64.81882266,0.861364897,30.6306978,0.995729453,0.487616668,1,1,648.1882266,180.0522852,7798.511381
1556812215000,10,64.93242499,0.870663868,30.58913789,0.995718056,0.492266154,1,1,649.3242499,180.3678472,7978.879229
1556813215000,10,65.04528113,0.879962946,30.52157135,0.995706601,0.496915692,1,1,650.4528113,180.6813365,8159.560565
1556814215000,10,65.1579197,0.88926213,30.42835556,0.995695095,0.501565285,1,1,651.579197,180.9942214,8340.554786
1556815215000,10,65.27086725,0.898561422,30.30998349,0.995683547,0.506214931,1,1,652.7086725,181.3079646,8521.862751
